Id,issn,eissn,#depend,class,format,lang,disciplines
http://www.zotero.org/styles/academy-of-management-review,0363-7425,1930-3807,4,in-text,author-date,en-US,social_science
http://www.zotero.org/styles/acm-sig-proceedings-long-author-list,-,-,0,in-text,numeric,en-US,science|engineering
http://www.zotero.org/styles/acm-sig-proceedings,-,-,0,in-text,numeric,en-US,science|engineering
http://www.zotero.org/styles/acm-sigchi-proceedings-extended-abstract-format,-,-,0,in-text,numeric,en-US,engineering
http://www.zotero.org/styles/acm-sigchi-proceedings,-,-,0,in-text,numeric,en-US,engineering
http://www.zotero.org/styles/acm-siggraph,-,-,0,in-text,author-date,en-US,engineering
http://www.zotero.org/styles/acs-nano,1936-0851,1936-086X,0,in-text,numeric,en-US,chemistry
http://www.zotero.org/styles/acta-anaesthesiologica-scandinavica,0001-5172,1399-6576,0,in-text,numeric,en-US,medicine
http://www.zotero.org/styles/acta-anaesthesiologica-taiwanica,1875-4597,1875-452X,0,in-text,numeric,en-US,medicine
http://www.zotero.org/styles/acta-chirurgiae-orthopaedicae-et-traumatologiae-cechoslovaca,0001-5415,-,0,in-text,numeric,en-GB,medicine
http://www.zotero.org/styles/acta-naturae,2075-8251,-,0,in-text,numeric,en-US,biology
http://www.zotero.org/styles/acta-neurochirurgica,0001-6268,0942-0940,0,in-text,numeric,en-US,medicine
http://www.zotero.org/styles/acta-ophthalmologica,1755-375X,1755-3768,0,in-text,author-date,en-GB,medicine
http://www.zotero.org/styles/acta-palaeontologica-polonica,0567-7920,1732-2421,0,in-text,author-date,en-GB,biology
http://www.zotero.org/styles/acta-pharmaceutica-sinica-b,2211-3835,2211-3843,0,in-text,numeric,en-US,medicine
http://www.zotero.org/styles/acta-pharmaceutica,1330-0075,1846-9558,0,in-text,numeric,en-US,biology
http://www.zotero.org/styles/acta-philosophica,1121-2179,1825-6562,0,note,note,-,humanities
http://www.zotero.org/styles/acta-polytechnica,1210-2709,1805-2363,0,in-text,numeric,en-GB,engineering
http://www.zotero.org/styles/acta-psychiatrica-scandinavica,0001-690X,1600-0447,0,in-text,numeric,en-GB,medicine
http://www.zotero.org/styles/acta-societatis-botanicorum-poloniae,0001-6977,2083-9480,0,in-text,numeric,en-US,botany
http://www.zotero.org/styles/acta-universitatis-agriculturae-sueciae,-,-,0,in-text,author-date,sv-SE,
http://www.zotero.org/styles/addiction-biology,1355-6215,1369-1600,0,in-text,author-date,en-GB,biology
http://www.zotero.org/styles/administrative-science-quarterly,0001-8392,1930-3815,0,in-text,author-date,en-US,social_science
http://www.zotero.org/styles/advanced-engineering-materials,1438-1656,1527-2648,0,in-text,numeric,en-US,engineering
http://www.zotero.org/styles/advanced-functional-materials,1616-301X,1616-3028,0,in-text,numeric,en-US,chemistry
http://www.zotero.org/styles/advanced-materials,0935-9648,1521-4095,0,in-text,numeric,en-US,engineering
http://www.zotero.org/styles/advanced-optical-materials,-,2195-1071,0,in-text,numeric,en-US,engineering
http://www.zotero.org/styles/advances-in-alzheimers-disease,2169-2459,2169-2467,0,in-text,numeric,-,medicine
http://www.zotero.org/styles/advances-in-complex-systems,0219-5259,1793-6802,0,in-text,numeric,en-US,
http://www.zotero.org/styles/aerosol-science-and-technology,0278-6826,-,0,in-text,author-date,en-US,chemistry
http://www.zotero.org/styles/african-journal-of-emergency-medicine,-,2211-419X,0,in-text,numeric,en-US,medicine
http://www.zotero.org/styles/african-zoology,1562-7020,2224-073X,0,in-text,author-date,en-GB,biology
http://www.zotero.org/styles/aging-cell,1474-9718,1474-9726,0,in-text,author-date,en-US,biology
http://www.zotero.org/styles/aging,-,1945-4589,0,in-text,numeric,en-US,medicine
http://www.zotero.org/styles/aids,0269-9370,1473-5571,0,in-text,numeric,en-US,medicine
http://www.zotero.org/styles/aix-marseille-universite-departement-d-etudes-asiatiques,-,-,0,note,note,fr-FR,social_science
http://www.zotero.org/styles/alcoholism-clinical-and-experimental-research,-,1530-0277,0,in-text,author-date,en-US,medicine
http://www.zotero.org/styles/alexandria-journal-of-medicine,2090-5068,2090-5076,0,in-text,numeric,en-US,medicine
http://www.zotero.org/styles/allergology-international,1323-8930,1440-1592,0,in-text,numeric,en-US,medicine
http://www.zotero.org/styles/allergy,0105-4538,1398-9995,0,in-text,numeric,en-GB,medicine
http://www.zotero.org/styles/alternatives-to-animal-experimentation,0946-7785,-,0,in-text,author-date,en-US,medicine
http://www.zotero.org/styles/ambio,0044-7447,1654-7209,0,in-text,author-date,en-US,biology
http://www.zotero.org/styles/ameghiniana,0002-7014,1851-8044,0,in-text,author-date,en-GB,biology
http://www.zotero.org/styles/american-anthropological-association,-,-,0,in-text,author-date,en-US,anthropology
http://www.zotero.org/styles/american-association-for-cancer-research,-,-,9,in-text,numeric,en-US,medicine
http://www.zotero.org/styles/american-association-of-petroleum-geologists,-,-,2,in-text,author-date,en-US,geology
http://www.zotero.org/styles/american-chemical-society-author-date,-,-,0,in-text,author-date,en-US,chemistry
http://www.zotero.org/styles/american-chemical-society-page-first,-,-,3,in-text,numeric,en-US,chemistry
