issued,1504
author,1503
title,1500
container-title,1500
page,1474
publisher-place,1471
editor,1468
volume,1463
publisher,1462
URL,1280
edition,1249
accessed,1127
genre,1101
translator,1003
locator,918
collection-title,807
issue,766
number,645
citation-number,581
DOI,528
event,524
editor translator,364
collection-number,304
section,289
event-place,242
archive,234
medium,234
archive_location,227
authority,225
number-of-pages,206
container-author,191
interviewer,139
recipient,135
note,113
version,104
year-suffix,102
archive-place,96
collection-editor,77
original-date,73
page-first,67
number-of-volumes,52
ISBN,52
title-short,51
status,48
reviewed-author,47
scale,40
first-reference-note-number,36
call-number,36
reviewed-title,34
references,24
translator editor,23
event-date,23
dimensions,21
ISSN,19
composer,18
original-publisher,17
chapter-number,16
abstract,16
director,15
container-author editor,14
container-author reviewed-author,14
original-publisher-place,14
submitted,13
container-title-short,12
original-author,10
source,10
illustrator,9
original-title,8
editor translator container-author,6
jurisdiction,5
author editor,5
editorial-director,5
PMID,5
editor container-author,4
translator editor container-author,3
composer editor,3
editor collection-editor,2
annote,1
interviewer illustrator container-author,1
citation-label,1
editor director,1
author composer,1
author director,1
author interviewer,1
PMCID,1
container-author translator,1
